longitude,latitude,housing_median_age,median_income,median_house_value,rooms_per_bedroom,rooms_per_household,people_per_household,ocean_proximity_enc
-122.23,37.88,41.0,8.3252,452600.0,6.821705426356589,6.984126984126984,2.5555555555555554,3.0
-122.22,37.86,21.0,8.3014,358500.0,6.418625678119349,6.238137082601054,2.109841827768014,3.0
-122.24,37.85,52.0,7.2574,352100.0,7.721052631578948,8.288135593220339,2.8022598870056497,3.0
-122.25,37.85,52.0,5.6431,341300.0,5.421276595744681,5.8173515981735155,2.547945205479452,3.0
-122.25,37.85,52.0,3.8462,342200.0,5.810714285714286,6.281853281853282,2.1814671814671813,3.0
-122.25,37.85,52.0,4.0368,269700.0,4.314553990610329,4.761658031088083,2.139896373056995,3.0
-122.25,37.84,52.0,3.6591,299200.0,5.184049079754601,4.9319066147859925,2.1284046692607004,3.0
-122.25,37.84,52.0,3.12,241400.0,4.518195050946143,4.797527047913447,1.7882534775888717,3.0
-122.26,37.84,42.0,2.0804,226700.0,3.8421052631578947,4.294117647058823,2.026890756302521,3.0
-122.25,37.84,52.0,3.6912,261100.0,5.01980198019802,4.970588235294118,2.172268907563025,3.0
-122.26,37.85,52.0,3.2031,281500.0,5.073732718894009,5.477611940298507,2.263681592039801,3.0
-122.26,37.85,52.0,3.2705,241800.0,4.658244680851064,4.772479564032698,2.0490463215258856,3.0
-122.26,37.85,52.0,3.075,213500.0,5.255274261603375,5.322649572649572,2.3461538461538463,3.0
-122.26,37.84,52.0,2.6736,191300.0,3.643979057591623,4.0,1.9827586206896552,3.0
-122.26,37.85,52.0,1.9167,159200.0,4.222044728434505,4.262903225806451,1.9548387096774194,3.0
-122.26,37.85,50.0,2.125,140000.0,3.9575971731448765,4.242424242424242,2.640151515151515,3.0
-122.27,37.85,52.0,2.775,152500.0,5.665706051873199,5.9395770392749245,2.395770392749245,3.0
-122.27,37.85,52.0,2.1202,155500.0,4.191126279863481,4.052805280528053,2.1386138613861387,3.0
-122.26,37.84,50.0,1.9911,158700.0,4.920879120879121,5.343675417661098,2.3627684964200477,3.0
-122.27,37.84,52.0,2.6033,162900.0,5.043624161073826,5.465454545454546,2.5090909090909093,3.0
-122.27,37.85,40.0,1.3578,147500.0,4.081521739130435,4.524096385542169,2.463855421686747,3.0
-122.27,37.85,42.0,1.7135,159800.0,4.4659400544959125,4.478142076502732,2.5382513661202184,3.0
-122.27,37.84,52.0,1.725,113900.0,4.502772643253235,5.096234309623431,2.1234309623430963,3.0
-122.27,37.84,52.0,2.1806,99700.0,5.008902077151335,5.193846153846154,2.624615384615385,3.0
-122.27,37.84,52.0,2.6,132600.0,5.089244851258581,5.270142180094787,2.3838862559241707,3.0
-122.28,37.85,41.0,2.4038,107500.0,4.349593495934959,4.495798319327731,2.6638655462184873,3.0
-122.28,37.85,49.0,2.4597,93800.0,4.631147540983607,4.7280334728033475,2.5397489539748954,3.0
-122.28,37.85,52.0,1.808,105500.0,4.508313539192399,4.7808564231738035,2.7758186397984885,3.0
-122.28,37.84,50.0,1.6424,108900.0,4.2317073170731705,4.40169133192389,2.3911205073995774,3.0
